,old_addr_idx,actual,area,floor,거래날짜,complex_name,거래날짜,시군구,주소,읍면동
2188732,2917010500_00637_00000_apartment,400000000,25.74260606060606,16,2022-09-27,임동중흥에스클래스센텀파크,2022-09-27,,637,임동
2188780,3611010200_000M3_00000_apartment,570000000,25.757242424242428,3,2022-09-03,새샘마을3단지(모아미래도리버시티),2022-09-03,세종시,BL-M3,소담동
2188839,4119010100_00222_00000_apartment,560000000,18.743333333333336,2,2022-09-15,이안더부천,2022-09-15,경기 부천시,222,원미동
2188845,4121010100_00304_00020_apartment,300000000,12.170878787878788,3,2022-09-20,광명아크포레자이위브,2022-09-20,,304-20,광명동
2188883,4129010900_00093_00000_apartment,1485000000,18.166666666666668,26,2022-09-01,과천자이,2022-09-01,경기 과천시,93,별양동
2188903,4139010100_00694_00000_apartment,550000000,18.12457575757576,6,2022-09-03,대야역두산위브더파크,2022-09-03,경기 시흥시,694,대야동
2188987,4167010800_00572_00000_apartment,373000000,25.737242424242428,13,2022-09-08,여주역금호어울림베르티스,2022-09-08,,572,교동
2188997,4183025021_00738_00000_apartment,320000000,24.355212121212123,9,2022-09-02,센트럴파크써밋,2022-09-02,경기 양평군,738,양평읍 양근리
2189054,4281032021_00665_00000_apartment,221700000,22.766666666666666,3,2022-09-05,현대에코캐슬,2022-09-05,,665,북면 원통리
2189274,4688025024_01016_00000_apartment,299800000,25.644939393939396,5,2022-09-13,그랜드센트럴장성,2022-09-13,,1016,장성읍 영천리
2189286,4711110300_00415_00015_apartment,165000000,13.947818181818182,9,2022-09-01,축복웰빙아파트,2022-09-01,,415-15,해도동
2192178,1117012800_00098_00000_apartment,2001000000,28.102969696969698,28,2022-08-28,용산센트럴파크해링턴스퀘어,2022-08-28,서울 광진구,98,한강로3가
2192318,2620011900_00123_00001_apartment,68000000,14.475757575757578,2,2022-08-22,유정,2022-08-22,부산 영도구,123-1,봉래동5가
2192401,2729010100_00223_00008_apartment,463000000,25.707060606060605,29,2022-08-09,성당태왕아너스메트로,2022-08-09,,223-8,성당동
2192446,2917010200_00141_00000_apartment,326000000,25.680848484848486,22,2022-08-12,금남로대광로제비앙,2022-08-12,,141,유동
2192458,3014010300_00001_00095_apartment,620000000,25.75509090909091,26,2022-08-03,목동더샵리슈빌,2022-08-03,대전 중구,1-95,목동
2195708,1129013400_01289_00000_apartment,1120000000,18.14378787878788,22,2022-07-02,롯데캐슬클라시아,2022-07-02,서울 성북구,1289,길음동
2195716,1135010300_00758_00000_apartment,840000000,18.175757575757576,7,2022-07-12,태릉해링턴플레이스,2022-07-12,서울 노원구,758,공릉동
2197390,1141011100_00270_00001_apartment,1160000000,18.17878787878788,10,2022-06-11,홍제역해링턴플레이스,2022-06-11,서울 서대문구,270-1,홍제동
2197432,1165010100_03283_00000_apartment,2950000000,25.74909090909091,11,2022-06-06,방배그랑자이,2022-06-06,서울 서초구,3283,방배동
2197483,2641010300_00045_00002_apartment,310350000,19.333333333333332,18,2022-06-21,금정더유엘프리미어,2022-06-21,부산 금정구,45-2,청룡동
2197537,2823710100_00431_00014_apartment,423000000,18.200000000000003,11,2022-06-03,산누리빌,2022-06-03,,431-14,부평동
2197556,3014010200_00379_00001_apartment,229120000,14.99960606060606,7,2022-06-25,에이스퀘어,2022-06-25,대전 중구,379-1,선화동
2197711,4157010200_01593_00000_apartment,830000000,25.731,9,2022-06-14,한강메트로자이3단지,2022-06-14,경기 김포시,1593,걸포동
2197973,4793033021_00325_00037_apartment,165000000,18.155696969696972,3,2022-06-15,리버사이드빌,2022-06-15,,325-37,근남면 노음리
2197988,4812510200_00525_00000_apartment,523000000,25.736424242424242,10,2022-06-15,창원롯데캐슬프리미어,2022-06-15,경남 창원마산합포구,525,교방동
2198014,1121510700_00023_00005_apartment,201000000,4.912121212121213,4,2022-12-23,더메종건대,2022-12-23,,23-5,화양동
2198023,1130510300_00741_00000_apartment,221000000,6.295151515151516,2,2022-12-21,칸타빌수유팰리스,2022-12-21,서울 구로구,741,수유동
2198051,1153010200_00103_00006_apartment,240000000,7.596969696969698,14,2022-12-19,구로오네뜨시티,2022-12-19,,103-6,구로동
2198081,2614010500_00570_00000_apartment,500000000,25.745,12,2022-12-27,대신푸르지오2차,2022-12-27,,570,서대신동2가
2198082,2617010100_00723_00000_apartment,430000000,18.176454545454547,23,2022-12-02,초량베스티움센트럴베이,2022-12-02,,723,초량동
2198135,2671025027_00797_00008_apartment,228000000,16.96666666666667,5,2022-12-04,웨이브리즈,2022-12-04,부산 기장군,797-8,기장읍 청강리
2198156,2771025322_02506_00000_apartment,149000000,18.146333333333335,10,2022-12-29,우신미가뷰아파트,2022-12-29,대구 달성군,2506,논공읍 금포리
2198163,2811014500_01888_00001_apartment,409800000,25.75109090909091,7,2022-12-03,호반써밋스카이센트럴,2022-12-03,인천 중구,1888-1,중산동
2198190,2915510400_01065_00000_apartment,475000000,25.74730303030303,14,2022-12-26,반도유보라더퍼스트,2022-12-26,광주 남구,1065,월산동
2198196,2917010100_00847_00000_apartment,313500000,18.175757575757576,10,2022-12-15,제일풍경채센트럴파크2단지,2022-12-15,광주 북구,847,중흥동
2198224,3120010300_00966_00000_apartment,340000000,25.756545454545456,15,2022-12-12,매곡에듀파크에일린의뜰,2022-12-12,,966,매곡동
2198225,3171025324_00243_00002_apartment,360000000,25.72009090909091,9,2022-12-01,e편한세상울산역어반스퀘어,2022-12-01,,243-2,언양읍 어음리
2198261,4119010200_00140_00001_apartment,455000000,19.32121212121212,14,2022-12-10,리브더웰,2022-12-10,,140-1,심곡동
2198488,4571025029_01241_00001_apartment,294400000,25.754818181818184,20,2022-12-15,완주삼봉우미린에코포레,2022-12-15,전북 완주군,1241-1,삼례읍 수계리
2198489,4571025029_01229_00003_apartment,317830000,25.739424242424246,15,2022-12-22,완주푸르지오더퍼스트,2022-12-22,전북 완주군,1229-3,삼례읍 수계리
2198520,4673025021_00577_00000_apartment,352000000,33.7139393939394,3,2022-12-09,골든캐슬아파트,2022-12-09,,577,구례읍 봉동리
2198540,4691025025_00354_00000_apartment,233000000,25.75469696969697,2,2022-12-21,에이원파크,2022-12-21,,354,지도읍 읍내리
2198631,4824010600_00423_00000_apartment,279500000,25.631242424242426,9,2022-12-09,가온에스펄,2022-12-09,,423,동림동
2200672,1150010200_00726_00000_apartment,897000000,18.175757575757576,19,2022-11-04,가양역두산위브,2022-11-04,,726,등촌동
2200681,1154510200_01162_00000_apartment,331500000,8.806515151515152,2,2022-11-23,아이유하임,2022-11-23,,1162,독산동
2200689,1159010700_01160_00000_apartment,895000000,18.179030303030306,12,2022-11-27,사당롯데캐슬골든포레,2022-11-27,서울 동작구,1160,사당동
2202760,2917010100_00836_00000_apartment,870000000,33.26969696969697,13,2022-10-30,제일풍경채센트럴파크1단지,2022-10-30,광주 북구,836,중흥동
2202775,4146310200_00661_00000_apartment,800000000,25.75181818181818,33,2022-10-04,기흥역더샵,2022-10-04,,661,구갈동
2203333,4874025021_00053_00000_apartment,64000000,18.163636363636364,5,2022-09-26,도원,2022-09-26,경남 창녕군,53,창녕읍 송현리
2203346,4886037021_00601_00000_apartment,190000000,18.034151515151517,9,2022-09-01,MH미르젠아파트,2022-09-01,,601,단성면 성내리
